query,ground_truth,top_ids,correct,rank_of_correct
What is the main premise and scope of the Mahabharata as described in its introduction?,1.1,"['1.62', '1.59', '18.6']",False,
Which topics are briefly listed or summarized at the start of the Mahabharata?,1.1,"['1.59', '18.6', '1.62']",False,
What glories or benefits are said to come from reading or listening to the Mahabharata?,1.1,"['1.59', '1.62', '18.6']",False,
What is the significance of the Samantpanchak region in the Mahabharata?,1.2,"['1.2', '3.163', '9.55']",True,1.0
How is the Akshauhini army described or enumerated in the Mahabharata?,1.2,"['5.151', '5.155', '5.19']",False,
Which festivals are mentioned in the Mahabharata and what are their meanings or outcomes?,1.2,"['15.14', '6.113', '1.219']",False,
What are the stated benefits of reading or hearing the Mahabharata in this section?,1.2,"['1.59', '18.6', '1.62']",False,
Why did Sage Saramaka curse King Janamejaya?,1.3,"['1.3', '12.151', '2.45']",True,1.0
How did Janamejaya choose Somashrava as his priest for the serpent sacrifice?,1.3,"['1.60', '1.13', '1.53']",False,
"What is the story of Aruni, Upamanyu, and their devotion to their Guru Uttanka?",1.3,"['5.14', '1.212', '1.208']",False,
How did Uttanka inspire Janamejaya to perform the Sarpayajna (snake sacrifice)?,1.3,"['1.60', '1.13', '1.53']",False,
What happened when the demon Puloma arrived at Sage Bhrigu’s ashram?,1.5,"['1.148', '1.5', '3.161']",True,2.0
What conversation took place between Puloma and the fire god Agni?,1.5,"['3.134', '3.222', '3.217']",False,
How was Maharshi Chyavana born?,1.6,"['1.6', '3.126', '1.8']",True,1.0
How did Chyavana destroy the demon Puloma?,1.6,"['1.6', '1.148', '4.21']",True,1.0
"Why did Bhrigu curse the fire god Agni, and what was the outcome?",1.6,"['5.16', '3.217', '3.222']",False,
Why did Agni disappear from the world after being cursed by Bhrigu?,1.7,"['3.217', '3.225', '13.85']",False,
How did Lord Brahma pacify Agni and mitigate his curse?,1.7,"['3.217', '13.85', '13.155']",False,
"Who was Pramadvara, and how was she born?",1.8,"['1.8', '3.308', '3.264']",True,1.0
What conversations took place between Pramadvara and Ruru before their marriage?,1.8,"['1.9', '13.42', '1.199']",False,
"How did Pramadvara die, and what caused her death?",1.8,"['1.9', '13.42', '7.55']",False,
How was Pramadvara revived to live half of Ruru’s lifespan?,1.9,"['1.9', '1.8', '13.42']",True,1.0
What happened after Ruru and Pramadvara’s marriage?,1.9,"['1.9', '13.42', '1.8']",True,1.0
Why did Ruru vow to kill all snakes?,1.9,"['1.10', '1.38', '1.11']",False,
What teachings did Dundubhaka share with Ruru?,1.10,"['1.10', '5.148', '1.11']",True,1.0
What is the story of Dundubha’s past as revealed in his autobiography?,1.11,"['3.1', '15.22', '1.165']",False,
What lessons of non-violence did Dundubha impart to Ruru?,1.11,"['2.73', '12.140', '5.58']",False,
How did Dundubha’s own life experiences influence his teachings to Ruru?,1.11,"['1.10', '1.11', '1.9']",True,2.0
Why was Ruru curious about Janamejaya’s snake charmer?,1.12,"['1.12', '1.10', '1.11']",True,1.0
How did Ruru’s father respond to or satisfy his curiosity?,1.12,"['1.12', '1.9', '1.8']",True,1.0
What was the significance of the snake charmer in Janamejaya’s story?,1.12,"['1.13', '1.44', '3.180']",False,
Why did Jaratkaru agree to marry at the request of his ancestors?,1.13,"['1.46', '1.14', '1.112']",False,
What was the background or reason behind Jaratkaru’s ancestors asking him to marry?,1.13,"['1.46', '1.14', '1.112']",False,
How did Jaratkaru’s marriage fulfill his ancestors’ wishes?,1.13,"['1.46', '1.14', '1.112']",False,
How did Jaratkaru come to marry Vasuki’s sister?,1.14,"['1.14', '1.46', '4.14']",True,1.0
What conditions or circumstances led to the union between Jaratkaru and Vasuki’s sister?,1.14,"['1.14', '1.47', '4.14']",True,1.0
What is the significance of Jaratkaru’s marriage to Vasuki’s sister in the Mahabharata?,1.14,"['1.14', '1.46', '4.14']",True,1.0
How did Vinata become Kadru’s slave?,1.23,"['1.23', '1.25', '2.71']",True,1.0
What is the origin story of Garuda according to the Mahabharata?,1.23,"['1.23', '1.30', '6.56']",True,1.0
Why did the gods praise Garuda after his birth?,1.23,"['12.170', '1.23', '7.66']",True,2.0
What was the relationship between Vinata and Kadru in this episode?,1.23,"['1.25', '5.5', '5.128']",False,
Why did Garuda reduce his brilliance and size?,1.24,"['1.34', '5.105', '2.21']",False,
How did Aruna come to occupy his place as the charioteer of the Sun?,1.24,"['8.36', '7.115', '3.42']",False,
"What caused Surya’s intense brilliance and anger, and how was it pacified?",1.24,"['1.24', '7.172', '7.141']",True,1.0
"What connection exists between Garuda, Aruna, and the Sun in this story?",1.24,"['5.112', '3.224', '1.23']",False,
Why did Kadru praise Lord Indra in this section?,1.25,"['1.25', '7.4', '5.12']",True,1.0
How did Indra save the snake that had fainted from the sun’s heat?,1.25,"['1.58', '1.25', '3.66']",True,2.0
How did Indra cause rain that pleased the serpents?,1.26,"['1.26', '1.25', '1.27']",True,1.0
What events led to the serpents’ happiness after the rain?,1.26,"['1.26', '1.38', '1.36']",True,1.0
What is described about the forest of Ramaniyak Island?,1.27,"['6.6', '6.12', '3.177']",False,
How did Garuda plan to free himself from slavery to Kadru?,1.27,"['1.23', '1.34', '5.105']",False,
What role did the serpents play in Garuda’s attempt to gain freedom?,1.27,"['3.180', '3.179', '5.112']",False,
How is the beauty of Ramaniyak Island portrayed in the Mahabharata?,1.27,"['6.6', '6.12', '3.177']",False,
Why did Garuda go in search of nectar (amrita)?,1.28,"['1.34', '1.23', '5.112']",False,
Why did Garuda eat the Nishadas as instructed by his mother?,1.28,"['1.29', '7.64', '5.105']",False,
What challenges did Garuda face on his journey for the nectar?,1.28,"['5.112', '12.169', '1.23']",False,
What story did Kashyapa tell Garuda about the previous births of the elephant and the tortoise?,1.29,"['1.16', '12.170', '1.30']",False,
How did Garuda capture the elephant and the tortoise?,1.29,"['3.65', '9.20', '14.75']",False,
What happened when Garuda met Kashyapa after the banyan branch broke?,1.30,"['5.105', '5.67', '12.171']",False,
Why did Kashyapa request the Valakhilyas to leave the branch for penance?,1.30,"['12.32', '12.328', '7.111']",False,
How did Indra insult the Valakhilya sages?,1.31,"['5.12', '3.134', '3.224']",False,
What penance did the Valakhilyas perform after being insulted by Indra?,1.31,"['5.12', '5.18', '7.199']",False,
Why did Garuda engage in battle with the gods?,1.32,"['5.105', '1.23', '1.32']",True,3.0
What was the outcome of Garuda’s battle against the gods?,1.32,"['5.105', '6.56', '7.15']",False,
"Which gods fought against Garuda, and how were they defeated?",1.32,"['8.61', '3.227', '6.56']",False,
What happened when Garuda returned with the nectar (amrita)?,1.33,"['1.23', '5.105', '1.34']",False,
What boon did Lord Vishnu grant to Garuda on his journey?,1.33,"['5.105', '1.34', '12.170']",False,
"Why did Indra strike Garuda with his thunderbolt, and what was the result?",1.33,"['5.12', '3.288', '7.30']",False,
How did Indra and Garuda become friends after their conflict?,1.34,"['5.12', '1.34', '3.224']",True,2.0
What did Garuda do with the nectar when he arrived among the snakes?,1.34,"['1.27', '5.112', '1.23']",False,
How was Vinata released from slavery through Garuda’s actions?,1.34,"['5.105', '2.66', '5.119']",False,
What boon did Brahma grant to Sheshnag as a result of his penance?,1.36,"['13.103', '12.272', '12.35']",False,
How did Sheshnag come to hold the earth upon his head?,1.36,"['13.154', '12.207', '1.18']",False,
Why were the serpents cursed by their mother?,1.37,"['1.38', '1.36', '1.54']",False,
How did Vasuki and the other serpents plan to escape from the curse?,1.37,"['1.39', '1.38', '1.36']",False,
Why did Vasuki’s sister Jaratkaruka decide to marry Jaratkaru Muni?,1.38,"['1.14', '4.14', '1.46']",False,
What circumstances led to Jaratkaruka’s decision to marry the sage?,1.38,"['1.14', '1.46', '1.40']",False,
What did Brahma instruct Vasukika to do regarding his sister’s marriage?,1.39,"['3.71', '3.70', '9.48']",False,
How did Vasukika approach Jaratkaru Muni for the marriage proposal?,1.39,"['1.14', '4.14', '3.266']",False,
What penance did Jaratkaru perform in this section?,1.40,"['1.3', '2.22', '14.90']",False,
What incident led King Parikshit to place a dead snake on the sage’s shoulder?,1.40,"['1.41', '1.50', '1.51']",False,
Why was Krushakaśṛṅgi distressed by the king’s act?,1.40,"['2.14', '5.144', '3.27']",False,
Why did Shringi Rishi curse King Parikshit?,1.41,"['1.41', '1.3', '1.49']",True,1.0
How did Sage Shamika react to his son Shringi’s curse?,1.41,"['1.42', '1.36', '1.230']",False,
Why did Shamika believe that the curse on King Parikshit was unfair?,1.41,"['1.3', '1.42', '2.68']",False,
What advice did Sage Shamika give his son after he cursed King Parikshit?,1.42,"['1.42', '1.3', '15.35']",True,1.0
Why did Shamika send Gaurmukha to deliver a message to King Parikshit?,1.42,"['3.71', '15.35', '3.74']",False,
What preparations did King Parikshit make to protect himself from Takshaka’s curse?,1.42,"['1.36', '1.44', '1.51']",False,
"Why did Takshaka offer money to Kashyapa, and why did Kashyapa return it?",1.43,"['3.98', '13.51', '1.56']",False,
How did Takshaka approach King Parikshit through deceit?,1.43,"['1.56', '1.51', '5.192']",False,
How did Takshaka finally kill King Parikshit?,1.43,"['6.117', '7.179', '9.10']",False,
How did Janamejaya’s coronation ceremony take place?,1.44,"['12.40', '14.59', '14.70']",False,
"Whom did Janamejaya marry, and under what circumstances?",1.44,"['1.95', '1.64', '4.14']",False,
What did Jaratkaru see in his vision of his ancestors?,1.45,"['1.46', '1.40', '15.35']",False,
What conversation took place between Jaratkaru and his forefathers?,1.45,"['5.83', '14.16', '1.46']",False,
Why were Jaratkaru’s ancestors in distress in his vision?,1.45,"['1.230', '1.45', '1.46']",True,2.0
What condition did Jaratkaru set before agreeing to marry?,1.46,"['1.46', '1.14', '1.198']",True,1.0
How did Jaratkaru meet and marry the daughter of Vasukika?,1.46,"['1.14', '1.46', '4.14']",True,2.0
Why was Vasukika’s daughter also named Jaratkaru?,1.46,"['1.40', '1.14', '3.218']",False,
How was the marriage between Jaratkaru and the serpent girl solemnized?,1.47,"['1.47', '1.14', '1.112']",True,1.0
How did the serpent girl serve her husband with devotion?,1.47,"['1.47', '1.81', '14.80']",True,1.0
Why did Sage Jaratkaru abandon his wife after marriage?,1.47,"['1.46', '1.14', '1.47']",True,3.0
Where did Jaratkaru go to perform penance after leaving his wife?,1.47,"['1.46', '9.52', '15.19']",False,
Why was Vasuki Naga troubled after Jaratkaru left his sister?,1.48,"['1.48', '1.47', '1.54']",True,1.0
How did Vasuki’s sister console or relieve her brother’s worries?,1.48,"['1.39', '13.42', '4.14']",False,
"How was Aastika born, and who were his parents?",1.48,"['1.40', '1.16', '3.202']",False,
What qualities of righteousness and virtue did King Parikshit possess?,1.49,"['12.70', '12.92', '12.75']",False,
What happened during King Parikshit’s hunting expedition?,1.49,"['3.240', '3.50', '9.30']",False,
Why did King Parikshit insult or disdain the sage Shamika?,1.49,"['1.42', '1.49', '1.140']",True,2.0
Why did Shringi Rishi curse King Parikshit?,1.50,"['1.41', '1.3', '1.49']",False,
How did Takshaka fulfill the curse by killing King Parikshit?,1.50,"['1.44', '1.51', '1.56']",False,
Why did Kashyapa return after attempting to save Parikshit?,1.50,"['15.16', '8.68', '5.146']",False,
"How did Janamejaya react upon learning of his father’s death, and what vow did he make?",1.50,"['1.49', '12.151', '12.218']",False,
Why did the king decide to grant a boon to Aastika?,1.56,"['12.326', '3.299', '3.295']",False,
Why was Takshaka Naga worried during the serpent sacrifice?,1.56,"['1.51', '3.66', '1.52']",False,
What boon did Aastika request from the king?,1.56,"['12.326', '3.299', '3.295']",False,
Which were the chief snakes that were burnt in Janamejaya’s serpent sacrifice?,1.57,"['1.52', '1.53', '1.57']",True,3.0
How are the names of the serpents listed or described in this chapter?,1.57,"['1.35', '1.57', '3.180']",True,2.0
When did Vyasa arrive at Janamejaya’s Yajna?,1.60,"['12.328', '14.16', '1.220']",False,
Who requested Vaishampayana to narrate the Mahabharata?,1.60,"['14.61', '3.151', '1.59']",False,
In which episode does Vyasa ask Vaishampayana to tell the story of the Mahabharata?,1.60,"['6.2', '1.59', '14.61']",False,
Where in the Mahabharata is the narration of the epic formally begun?,1.60,"['1.59', '1.62', '12.54']",False,
Who initiated the recitation of the Mahabharata during Janamejaya’s sacrifice?,1.60,"['1.62', '18.6', '1.59']",False,
Which section describes King Dushyanta’s power and governance abilities?,1.68,"['2.55', '12.115', '5.148']",False,
How is King Dushyanta’s rule and strength depicted in the Mahabharata?,1.68,"['3.126', '8.60', '7.135']",False,
Where is Dushyanta’s administrative skill and valor mentioned?,1.68,"['9.61', '7.6', '7.68']",False,
What attributes made King Dushyanta a capable ruler according to the text?,1.68,"['12.85', '3.126', '5.148']",False,
Where does King Dushyanta go hunting in the Mahabharata?,1.69,"['9.27', '3.158', '8.60']",False,
Which chapter narrates Dushyanta’s hunting expedition in the forest?,1.69,"['3.258', '1.70', '3.240']",False,
What animals does King Dushyanta hunt and kill?,1.69,"['3.240', '7.68', '3.50']",False,
Which passage describes Dushyanta’s encounter with wild beasts?,1.69,"['7.68', '3.258', '11.5']",False,
Which chapter describes Kanva’s ashram and its surroundings?,1.70,"['3.163', '2.10', '15.27']",False,
When does King Dushyanta enter Sage Kanva’s hermitage?,1.70,"['1.71', '1.74', '3.158']",False,
Where is the Tapovan described in connection with Dushyanta?,1.70,"['1.171', '9.36', '9.42']",False,
Which scene introduces Dushyanta’s arrival at Kanva’s ashram?,1.70,"['3.256', '12.44', '5.7']",False,
Where does Dushyanta first meet and converse with Shakuntala?,1.71,"['1.71', '1.69', '3.183']",True,1.0
In which part does Shakuntala narrate the story of her birth?,1.71,"['1.69', '1.82', '5.14']",False,
Which episode describes Indra sending Menaka to disturb Vishwamitra’s penance?,1.71,"['1.72', '3.224', '5.12']",False,
How are Shakuntala’s origins connected to Vishwamitra and Menaka in the Mahabharata?,1.71,"['1.69', '3.202', '13.3']",False,
Which chapter narrates the meeting of Menaka and Vishwamitra?,1.72,"['4.67', '4.54', '1.72']",True,3.0
Where is the birth and rescue of the child Shakuntala described?,1.72,"['1.74', '1.69', '1.8']",False,
"Who raised Shakuntala after her birth, and how did she get her name?",1.72,"['1.74', '3.228', '1.69']",False,
How did the Shakunta birds protect the infant Shakuntala?,1.72,"['1.32', '13.32', '13.5']",False,
Which section describes the Gandharva marriage between Shakuntala and Dushyanta?,1.73,"['1.73', '13.44', '3.46']",True,1.0
Who approved the marriage of Shakuntala and Dushyanta in the Mahabharata?,1.73,"['1.73', '1.198', '5.191']",True,1.0
What type of marriage took place between Shakuntala and Dushyanta?,1.73,"['1.73', '1.82', '3.294']",True,1.0
In which part is Kanva’s approval of Shakuntala’s marriage mentioned?,1.73,"['1.71', '1.98', '1.82']",False,
Which chapter narrates the birth of Shakuntala’s son Bharata?,1.74,"['1.69', '14.70', '1.59']",False,
Where does Shakuntala meet Dushyanta after giving birth to her son?,1.74,"['1.82', '1.74', '1.72']",True,2.0
In which episode does Akashvani confirm Shakuntala’s purity?,1.74,"['5.15', '1.71', '5.17']",False,
Where is Bharata’s coronation described in the Mahabharata?,1.74,"['12.38', '14.70', '3.54']",False,
How is Shakuntala’s confrontation with Dushyanta depicted?,1.74,"['9.16', '7.170', '9.10']",False,
Which section describes King Pandu accidentally killing a sage disguised as a deer?,1.118,"['15.22', '3.50', '3.184']",False,
Who cursed King Pandu and why?,1.118,"['1.150', '1.125', '5.127']",False,
Where is the origin of Pandu’s curse narrated?,1.118,"['1.125', '1.150', '1.114']",False,
What event caused Pandu to renounce his royal duties?,1.118,"['1.114', '5.20', '1.125']",False,
Which chapter describes King Pandu’s repentance for killing the sage?,1.119,"['1.150', '1.125', '1.114']",False,
Where does Pandu renounce worldly life and take sannyasa?,1.119,"['1.120', '1.114', '1.125']",False,
What role did Pandu’s wives play in his decision to enter the forest?,1.119,"['1.114', '1.125', '15.22']",False,
Which episode marks Pandu’s entry into Vanaprastha Ashram?,1.119,"['1.120', '1.114', '5.32']",False,
Which story in the Mahabharata describes Bhadra giving birth from the body of her dead husband?,1.121,"['4.17', '1.82', '2.72']",False,
"Who was Vyushitashva, and what was the miracle involving his wife Bhadra?",1.121,"['13.42', '14.71', '3.219']",False,
Where is the tale of Bhadra and Vyushitashva mentioned?,1.121,"['3.271', '1.165', '3.1']",False,
Which section recounts the miraculous birth narrated by Bhadra?,1.121,"['14.70', '3.309', '14.66']",False,
Which episode narrates the return of Kunti and the Pandavas to Hastinapura?,1.126,"['3.247', '14.88', '15.24']",False,
Who escorted the Pandavas and Kunti to Bhishma after Pandu’s death?,1.126,"['1.206', '5.57', '1.150']",False,
Where does the Mahabharata describe the meeting between Bhishma and the Pandavas?,1.126,"['6.89', '6.116', '1.165']",False,
What was Bhishma’s role in receiving Kunti and her sons?,1.126,"['5.174', '1.157', '1.113']",False,
Where is the funeral of Pandu and Madri described?,1.127,"['1.127', '1.125', '1.150']",True,1.0
Which section mentions the Pandavas performing rites for their parents?,1.127,"['15.24', '15.22', '2.77']",False,
How did the brothers offer water and tribute to Pandu and Madri?,1.127,"['1.127', '1.192', '14.88']",True,1.0
What significance does this ritual hold in the Pandavas’ early life?,1.127,"['15.24', '3.258', '3.182']",False,
Which chapter describes the childhood of the Pandavas and Kauravas?,1.128,"['15.22', '15.24', '15.21']",False,
Where is Duryodhana’s attempt to poison Bhima mentioned?,1.128,"['6.80', '9.61', '9.33']",False,
What happened to Bhima after he was pushed into the Ganga?,1.128,"['1.129', '7.201', '4.17']",False,
Which section narrates Bhima’s journey to Nagaloka and his drinking of divine nectar?,1.128,"['4.17', '1.129', '1.59']",False,
Which section describes Kunti’s anxiety over Bhima’s disappearance?,1.129,"['1.129', '1.162', '4.17']",True,1.0
Where does Bhima return from the Nagaloka after gaining strength?,1.129,"['1.129', '10.1', '7.148']",True,1.0
How did Duryodhana react after Bhima’s return from the Nagas’ realm?,1.129,"['6.80', '9.61', '5.74']",False,
Which chapter continues the conflict between Bhima and Duryodhana after Bhima’s return?,1.129,"['7.132', '6.80', '6.78']",False,
Who built the secret tunnel beneath the Lakshagriha?,1.147,"['3.130', '3.153', '3.139']",False,
Which miner did Vidura send to construct a tunnel for the Pandavas?,1.147,"['1.218', '3.7', '4.25']",False,
Where in the Mahabharata is the tunnel under the house of lac described?,1.147,"['5.102', '6.6', '3.177']",False,
How did Vidura help the Pandavas prepare for their escape from the Lakshagriha?,1.147,"['3.7', '14.15', '15.24']",False,
Which chapter describes the burning of the house of lac (Lakshagriha)?,1.148,"['1.148', '1.150', '3.137']",True,1.0
How did the Pandavas escape from the burning Lakshagriha?,1.148,"['3.311', '15.24', '3.248']",False,
Where is the Pandavas’ night-time escape through the tunnel mentioned?,1.148,"['15.24', '4.25', '4.26']",False,
"Who set fire to the Lakshagriha, and what was the outcome?",1.148,"['1.150', '3.222', '1.141']",False,
Who arranged for the Pandavas to cross the Ganga after escaping the Lakshagriha?,1.149,"['1.170', '3.236', '3.7']",False,
Which sailor helped the Pandavas flee across the river?,1.149,"['11.27', '9.30', '15.24']",False,
Where is Vidura’s assistance in ferrying the Pandavas across the Ganges described?,1.149,"['3.7', '1.214', '1.149']",True,3.0
What role did the boatman play in helping the Pandavas escape?,1.149,"['9.30', '15.22', '1.149']",True,3.0
Which chapter narrates Dhritarashtra’s mourning and offering of water for the supposedly dead Pandavas?,1.150,"['7.85', '6.59', '15.24']",False,
Where is the ritual condolence for the Pandavas mentioned?,1.150,"['3.258', '7.181', '1.118']",False,
How did Dhritarashtra and others react to the news of the Pandavas’ death in the fire?,1.150,"['1.150', '9.2', '2.74']",True,1.0
Which passage marks the Pandavas’ entry into the forest after the Lakshagriha incident?,1.150,"['3.258', '15.24', '1.151']",False,
Which section describes Bhima’s sorrow seeing his family suffer in the forest?,1.151,"['1.151', '1.129', '15.22']",True,1.0
Where is Bhimasena shown bringing water for Kunti?,1.151,"['1.129', '4.17', '3.154']",False,
How does Bhima react to Kunti and his brothers sleeping on the bare ground?,1.151,"['1.129', '1.162', '4.17']",False,
In which episode does Bhima express anger towards Duryodhana after their escape?,1.151,"['6.80', '7.132', '1.162']",False,
Where does Hidimbi first encounter Bhima and the Pandavas?,1.152,"['1.129', '1.154', '15.24']",False,
Which chapter introduces the demoness Hidimba and her dialogue with Bhima?,1.152,"['4.17', '1.154', '1.155']",False,
How is the first meeting between Bhima and Hidimba described?,1.152,"['1.129', '4.17', '7.132']",False,
Who sends Hidimbi to meet the Pandavas and why?,1.152,"['1.154', '15.24', '5.7']",False,
Which section narrates the battle between Bhima and the demon Hidimba?,1.153,"['7.132', '6.54', '6.63']",False,
Where is Hidimbasura’s fear and confrontation with Bhimasena mentioned?,1.153,"['7.129', '3.151', '1.129']",False,
Who fights Hidimba in the Mahabharata and what happens in that combat?,1.153,"['1.154', '7.15', '6.116']",False,
Which chapter depicts Bhima’s combat with the rakshasa Hidimbasura?,1.153,"['7.132', '7.179', '7.129']",False,
In which episode does Bhima slay Hidimbasura?,1.154,"['6.80', '7.40', '1.129']",False,
Where does Hidimba express her affection toward Bhima and Kunti?,1.154,"['1.155', '4.17', '3.71']",False,
Who kills the rakshasa Hidimba and under what circumstances?,1.154,"['1.154', '1.155', '1.153']",True,1.0
Which passage describes Hidimba’s confession of feelings before Bhima kills Hidimbasura?,1.154,"['1.155', '1.154', '7.40']",True,2.0
Which chapter tells of Yudhishthira stopping Bhima from killing Hidimba?,1.155,"['7.127', '5.153', '1.162']",False,
Where is the story of Bhima and Hidimbi’s union and the birth of Ghatotkacha narrated?,1.155,"['1.59', '1.129', '6.78']",False,
Who was Ghatotkacha and how was he born?,1.155,"['7.176', '12.324', '1.67']",False,
Which section contains Hidimbi’s prayer to Bhima before their marriage?,1.155,"['4.17', '1.155', '5.174']",True,2.0
Where do the Pandavas meet Vyasa after escaping the forest?,1.156,"['15.24', '3.8', '1.218']",False,
Which chapter marks the Pandavas’ arrival at Ekachakra?,1.156,"['15.24', '3.7', '17.1']",False,
Who guides the Pandavas to settle temporarily in Ekachakra?,1.156,"['3.7', '15.24', '4.26']",False,
Where is the meeting between Vyasa and the Pandavas described after the Lakshagriha incident?,1.156,"['5.67', '14.15', '1.165']",False,
Where is the Pandavas’ departure to the forest described?,3.1,"['3.258', '1.151', '15.24']",False,
Which chapter mentions the Pandavas staying overnight at Praman-Kotirtha?,3.1,"['15.24', '3.7', '10.8']",False,
What discussion does Yudhishthira have with the Brahmins about wealth and hospitality?,3.2,"['13.11', '12.124', '15.26']",False,
Which chapter records Shaunaka’s dialogue with Yudhishthira on dharma and welfare?,3.2,"['1.4', '1.59', '5.133']",False,
Where does Yudhishthira obtain the Akshaya Patra from Surya?,3.3,"['18.3', '14.2', '13.21']",False,
Which section describes Yudhishthira’s prayer to Lord Surya for sustenance?,3.3,"['14.2', '18.3', '18.2']",False,
Which chapter describes Vidura advising Dhritarashtra?,3.4,"['5.41', '5.33', '1.201']",False,
Where does Dhritarashtra become angry and leave the palace after Vidura’s counsel?,3.4,"['1.201', '5.33', '2.74']",False,
Where do the Pandavas enter Kamyakavana during their exile?,3.5,"['15.24', '4.25', '3.238']",False,
Which chapter narrates Vidura’s meeting with the Pandavas in Kamyakavana?,3.5,"['3.7', '3.6', '15.24']",False,
Who sends Sanjaya to bring Vidura back from the forest?,3.6,"['3.6', '7.112', '5.30']",True,1.0
